,title,description,job_url,datePosted,validThrough,occupationalCategory,salary_min,salary_max,salary_currency,companyName,companyAddress
0,AI-Focused Ruby on Rails Engineer,"Howdy! Stuart here, founder and Head of Engineering at Rivo ! Are you a Full-Stack Rails engineer with 7+ years of experience? Are you sold on the future of engineering revolving around agentic tools like Claude Code? Would building and scaling a fast-growing SaaS company while sticking to Rails best practices fire you up? If so, awesome! Keep reading! About the job With the help of our small team, (and some awesome team members at Thoughtbot), we've built an amazing platform on Rails that has scaled wonderfully so far. To give a small indication, we process roughly 20-30M Sidekiq Jobs per day and are adding 10-15M db rows per day. Your job is to help us scale as a Full-Stack Rails Engineer. This is a remote, full-time role (40+ hours/week). How Are We Different? We might lose you here :) We believe in writing Rails in a particular style , sticking close to standardrb and general Rails best practices. If a feature takes our competitors 8 weeks to build, we build a solid MVP in 8-10 days. We utilize the 80/20 principle to focus on what matters and just ship. Of course, we look at the usage metrics, then come back and complete the other 20% over time. We rely on agentic AI tools like Claude Code to remove countless hours of monotonous work and let us focus on shipping meaningful updates and features. If this sounds like your style, we'd love to chat! Who you are You’re self-driven and work autonomously with limited guidance You believe and use AI in your day to day coding. You can operate in a high-octane environment You utilize the Pareto Principle (80/20) You prefer async meetings and moving fast You have a profound passion for Rails best practice What will you be responsible for Shipping high quality production code that follows Rails best practices. Helping us scale a fast growing, product focused, SaaS company. Requirements 7+ years of professional software development experience with Ruby / Ruby on Rails Having experience in the Shopify ecosystem, particularly the shopify_app and shopify_api gems are a HUGE plus, but not a hard requirement. In-depth knowledge of database systems, particularly relational databases (e.g., Postgres, Sidekiq and Redis) The ability to adjust to our high-octane workflow. One of our core values is to create what works in its simplest form and iterate based on metrics and feedback. We don't have long release cycles. The ability to work in EST or PDT timezone, or at least overlap by 5 hours Ability to write efficient and optimized code, following best practices and design patterns Things we love ❤️ Living by our SPEED core values of Speed, Pareto Principle, Evidence-Based, End Results, and Disrupt. Helping our users succeed and generate real ROI from our software Having a stress-free work environment Being a 100% remote & 100% global team Things we avoid Micro-managing Egos & Drama Wasting time Salary Salary is negotiable and based on experience. Everyone should earn what they feel is fair. This is a remote, full-time role (40+ hours/week). Does it sound like you'd be a good fit? Please complete the application form and we'll be in touch!",https://www.weworkremotely.com/remote-jobs/rivo-commerce-ai-focused-ruby-on-rails-engineer,2025-08-13 19:19:38 UTC,2025-10-12 19:19:38 UTC,Full-Stack Programming,0,0,USD,Rivo Commerce,United States
1,"Senior Full-Stack Engineer — CRM Platform (Remote, High Ownership)","About the role We’re hiring Senior Full-Stack Engineers at Tasty to build the internal CRM platform that powers our teams and growth. You’ll ship real product, own meaningful slices of the stack, and help define the architecture as we scale. Compensation: We tailor packages (salary/equity/bonus) to impact. The more value and revenue you drive, the more you earn. What you’ll do Build & evolve our CRM: Design, implement, and maintain features that organize teams, workflows, and data across the company. Own end-to-end slices: Integrate front-end and back-end components, ensuring performance, reliability, and a great developer experience. Work in our stack: Electron Vite, React, NextJS, Golang, Cloudflare Workers, and more (details below). Raise the bar: Participate in code reviews, enforce typing/linting standards, and mentor peers. Contribute to platform strategy: Shape our web app and API workers, including Cloudflare Workers–powered services. Authorized Tech Stacks ️ Desktop Backend: Hono · Cloudflare Workers (D1, KV, R2, Durable Objects) · Drizzle ORM · tRPC 11 Frontend: Electron Vite · React · tRPC 11 · TanStack Router · TanStack Query · Zustand Web App Backend: NextJS 15 App Router · OpenNextJS Cloudflare · Cloudflare Workers (D1, KV, R2) · Drizzle ORM · tRPC 11 · TanStack Query · Redis · Cloudflare R2 · Supabase Frontend: ShadCN/Tailwind ⚙️ API Workers Golang (OF proxy & media replacement) · Hono w/ OpenAPI spec · Drizzle ORM · Cloudflare Workers (D1, KV, R2) · API Extractor (SDK bundling)",https://www.weworkremotely.com/remote-jobs/tasty-llc-senior-full-stack-engineer-crm-platform-remote-high-ownership,2025-09-11 20:57:06 UTC,2025-10-11 20:57:06 UTC,Full-Stack Programming,50000,50000,USD,Tasty LLC,Tasty LLC
2,Senior Fullstack Developer,"Empower the voices of the world @ Zencastr. If you want to push the world of podcasting into the future, come join a team who loves to live on the edge! We are a fully distributed team of smart people who are passionate about changing the world one voice at a time. You should join us if you: Have significant experience with Node.js and good knowledge of JS fundamentals Have a good understanding of computer science fundamentals. You might not have gone to school for it, but you know the difference between heap and stack, different time complexities, and which patterns to use and when. You are ambitious. You might want to build your own company one day or have tried to tackle the toughest tech problems just for fun. You enjoy writing Javascript or Typescript You have an eye for performance. Whether thinking about the latest client side bundling techniques, or the proper way to shard a mongo database, you want things to be fast. You are just as comfortable working in a browser context or a node.js runtime You are a team player You have good communication skills What sets you apart: You have a passion for high performance applications You have significant open source contributions You want to work in a fast growing startup. Which comes with the blood, sweat and tears of working to disrupt an established industry You have empathy for the end user. A spec is a conversation starter, as an advocate for the end user you always are thinking about how to best serve their needs You have an eye for code quality and you strive to uphold best practices in engineering, security, and design Why you should choose us: You’ll be working with world class engineers, Phd’s, and designers in a fully distributed team Work in an agile and fast changing environment Equity commensurate to your contribution in a profitable company Health insurance Unique challenges and the support and talent to solve them 4 weeks PTO Freedom to work where you please What we’re looking for: 5+ years of Typescript, React, Node.js development Strong document / key-value store knowledge (Redis, MongoDB) Strong SQL knowledge Strong HTML / CSS / React knowledge Demonstrable knowledge of building scaleable consumer based apps Strong experience with unit, integration, and load testing Experience building APIs Experience with cloud APIs (Google Cloud, Digital Ocean) Bonus points if you have: Experiencing working in high traffic, low latency applications Good dev ops experience Digital Signal Processing experience Strong SQL knowledge How to apply: Apply at https://jobs.ashbyhq.com/zencastr/c4c91cc0-c5f9-4773-ab04-d239f9455aee We are flexible! For the right candidate we ask: What do you need to do your best work?",https://www.weworkremotely.com/remote-jobs/zencastr-senior-fullstack-developer,2025-08-08 22:55:31 UTC,2025-10-07 22:55:31 UTC,Full-Stack Programming,0,0,USD,Zencastr,Zencastr
3,Full-Stack Developer (TypeScript/Next.js • Cloud),"The role Own end-to-end product slices—UI, APIs, data, and deployment. You’ll design clean interfaces, build reliable backend flows, and keep things fast and observable in production. What you’ll do Ship features across the stack from spec to prod Design simple, explicit APIs and data models Raise the bar on quality (tests, types, CI) and developer experience Monitor performance/costs; debug production issues quickly Collaborate directly with founders and users; iterate rapidly What you’ll bring (most important) Strong TypeScript and React/Next.js experience (server + client) Solid Node.js backend fundamentals and production cloud/serverless experience on AWS Practical data skills (document or relational), clear API design, robust error handling Experience with modern auth and billing platforms (Stripe or similar), including complex subscription and usage-based models Excellent problem-solving: decompose ambiguity, reason from first principles, ship pragmatic solutions under constraints AI-accelerated development: you actively use tools like Cursor/Copilot/LLMs for scaffolding, tests, refactors, and debugging—without outsourcing your judgment Best practices: write maintainable, well-tested code; favor clear, simple designs Nice to have Web-based video editor/player experience Remotion (programmatic video) exposure SST or similar IaC experience Strong AWS skills Observability patterns and perf/cost tuning for cloud apps Vercel/edge runtime familiarity; SSR/ISR performance tuning",https://www.weworkremotely.com/remote-jobs/vidrush-full-stack-developer-typescript-next-js-cloud,2025-09-05 10:28:49 UTC,2025-10-05 10:28:49 UTC,Full-Stack Programming,50000,50000,USD,VidRush,UK
4,QA Engineer Automation OR manual ,"Open for talents from LATAM, Canada and EUROPE CloudDevs is helping world-class, venture-backed AI startups find talented AI full-stack developers. You will be employed by one of these startups and play an integral role in their early-stage growth. Minimum qualifications: Strong manual OR automation testing skills Previous experience in a senior QA role Knowledge of writing automated tests using Cypress or any JS framework Good knowledge of REST APIs and relational DB queries Knowledge in automated tests using Cypress or other frameworks like Selenium or Nightwatch.js Strong and confident communicator in English Strong problem solver Comfortable with collaboration and open communication across distributed teams Duties and responsibilities include : Create test automation plans. Perform manual OR automation testing. API testing Work with the product owner and engineering teams to ensure features are clearly understood and can be translated into a set of quality based test plans. Looking for a different tech stack? We work on multiple projects for Senior Developers / QAs and Devops people. If you have over four years of commercial experience, we’d be eager to connect and match you with an appropriate role. Simply apply, and we'll provide all the details. If your background aligns with our requirements, here’s the process: Upload your CV on our website Participate in a 30-minute screening call / technical interview Complete your coding challenge We’ll match you with the best openings on our platform that fit your profile",https://www.weworkremotely.com/remote-jobs/clouddevs-qa-engineer-automation-or-manual,2025-08-31 21:39:08 UTC,2025-09-30 21:39:08 UTC,Full-Stack Programming,0,0,USD,CloudDevs,San Francisco
5,Senior TypeScript SDK Engineer,"Who We Are… At Nutrient, we equip developers and innovators with cutting-edge tools to simplify workflows and accelerate impactful software creation. We’re on a mission to redefine how documents are created, shared, and experienced. Our software development kits enable companies to work smarter and faster, saving time and expenses along the way, while effectively replacing the need for paper processes. Your Role at Nutrient… The team you will be joining is responsible for the Nutrient Web SDK . Take a look at its API docs to get an understanding of the scope involved: It is a toolbox for web engineers and application developers who need a painless way to render, edit and process documents. It either runs client-side using WebAssembly or connects to the Nutrient Document Engine . This means that our SDK has to work for diverse use cases we constantly keep learning about from our customers. It needs to be convenient to use and easy to integrate; well architected, tested and documented; and loved by LLMs. Your day to day work ranges (depending on your personal preferences and the current priorities) from writing code and documentation to talking directly with customers in order to understand their use cases and devise solutions for them, which you will incorporate into the evolving architecture of the product. If you think you have the aptitude to contribute to building this product we would like to hear from you. You'll have autonomy, learn a lot and will shape the future of this product. What You’ll Bring… Strong General Programming Skills: You're well versed in OOP & FP, data structures & algorithms and understand that even a client-side SDK forms part of a larger distributed system. You’re driven by a curiosity to understand how things work. Passion for Building in the B2D Space:  You don't write code for the sake of it, but to provide value to our customers by getting the user/developer experience right Collaborative and Self-Managing: You don't need hand-holding, and you're gaining energy from exchanging ideas, both async and sync. Bias towards Shipping: You move fast and take ownership for solving problems from start to finish. What We'll Bring… We are a globally distributed company, backed by Insight Partners. We embrace a low-meeting culture and prioritize asynchronous communication to provide flexibility and focus. Working hours overlap with most of the team across the US, Europe, and Asia. We offer competitive salaries, comprehensive benefits, and an annual global retreat to celebrate achievements and foster connections. Past retreats have taken place in locations like Croatia, Spain, and Greece. Nutrient believes in equal opportunity, we employ people from many different cultures and countries. We celebrate diversity and are committed to building a team that represents a variety of backgrounds, skill sets, perspectives, as well as providing our employees with a work environment free of harassment. We do not discriminate on the basis of race, color, religion, age, marital status, national origin, ancestry, physical or mental disability, medical condition, sexual orientation, gender identity or expression, or any other non-merit factor. We are a remote company. To ensure overlap with most of the team across the US, Europe and Asia, we’re looking for someone who will have a significant overlap with US and European working hours.  If working from the US, you must be located in Florida, Indiana, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, or Virginia for payroll processing.",https://www.weworkremotely.com/remote-jobs/nutrient-senior-typescript-sdk-engineer,2025-06-30 15:02:35 UTC,2025-09-28 15:02:35 UTC,Full-Stack Programming,0,0,USD,Nutrient,"Raleigh, NC, USA"
6,Software engineer,"About Sticker Mule Sticker Mule, the Internet's favorite custom printer, is building the Internet's best commerce platform. We are privately-owned, which means no meddlesome investors, with 9-figures in annual revenue and great profitability. Our commerce platform ( Stores) helped people earn $200k while in beta and now we are hiring to accelerate development. We offer Remote work with flexible schedules A privately owned, low-stress culture A fun ""no bullshit"" work environment Great compensation with rising wages. Compensation and benefits Salary: $145K $20,000 signing bonus 4 weeks vacation + holidays based on your country of residence We like you to know Go TypeScript GraphQL Postgres Redis Docker Kubernetes Google Cloud Platform Excellent communication skills (English) Degree in Computer Science or equivalent practical experience What you will work on You'll help us develop our new Stores platform that already helped sellers earn nearly $200,000 while in beta. Stores is supported by a suite of tools that help anyone succeed online including Give (our giveaway platform), Ship (our shipping platform, Notify (our forthcoming email/sms marketing platform), and more coming soon. We have an incredible roadmap and need your help to execute it quickly.",https://www.weworkremotely.com/remote-jobs/sticker-mule-software-engineer-1,2025-07-28 09:11:53 UTC,2025-09-26 09:11:53 UTC,Full-Stack Programming,100000,100000,USD,Sticker Mule,"New York, NY"
7,[Electronic Music] Senior Full Stack Software Engineer,"We’re looking for a Senior Full-Stack Engineer with strong back-end expertise to help modernize and maintain critical systems—especially those that aren’t always glamorous (like legacy codebases)—but are essential to the heartbeat of our platform. This is not a management role. We want a dependable, experienced developer excited to improve stability, scalability, and maintainability. You’ll work closely with our fully remote team to support systems written in Ruby on Rails and PHP/Laravel, with some involvement in React/Next.js/TypeScript front-ends. We’re especially interested in engineers who enjoy getting their hands dirty, take pride in quality, and can work independently with minimal direction. Why Join Proton Remote-first culture with flexible hours. Collaborative, respectful team with a passion for music and code. Opportunities to grow across technologies and systems. Competitive compensation and meaningful work supporting independent artists. Proton is a values driven organization, meaning we aim to align the actions we take with shared ideals. Each team at Proton has its own value system; you can check the engineering team's here. What You’ll Do Maintain, refactor, and improve existing systems—including a legacy PHP app with raw SQL. Contribute to modernizing that app in Laravel, Rails, and GraphQL. Support our Rails platform with clean, scalable code. Collaborate with front-end engineers on React/Next.js projects when needed. Be able to write performant SQL queries for use-cases when the ORM is not performant enough. Assist in API work, including migrating from REST to GraphQL. Work across cloud platforms (GCP, Netlify), Docker, and CI/CD pipelines. Follow Shape Up methodology to deliver focused, high-impact work. What We’re Looking For 5+ years of back-end or full-stack development experience. Extensive experience with a modern web application framework (e.g., Ruby on Rails, PHP/Laravel, Django, Spring, .NET, etc.). Familiarity with Ruby on Rails or PHP/Laravel is a plus — or enthusiasm to quickly learn them if not already experienced. Strong SQL skills—confident writing queries without an ORM. Familiarity with React, Next.js, and TypeScript. Comfortable working in a remote, async-first team with excellent communication skills. Experience with Git/GitHub, Docker, and cloud infrastructure. Self-driven, accountable, and eager to learn. Nice to Haves Experience with Laravel migrations or legacy-to-modernization projects. Familiarity with the Shape Up process or similar agile methods. Awareness of web security fundamentals.",https://www.weworkremotely.com/remote-jobs/proton-electronic-music-senior-full-stack-software-engineer,2025-08-26 23:18:23 UTC,2025-09-25 23:18:23 UTC,Full-Stack Programming,0,0,USD,Proton,USA
8,Full Stack Engineer,"About Planning Center Planning Center, established in 2006, has grown to support over 85,000 churches worldwide. As an independent company, we pride ourselves on being debt-free with no outside investors. Churches use our tools to communicate and connect with their congregations, organize information, and coordinate events. We’re committed to building great products that solve real problems using web and mobile products. Our team enjoys the flexibility of remote work, utilizing tools like Asana, Slack, Notion, and Zoom for collaboration. We gather quarterly at our main office in Carlsbad, CA, fostering our work relationships. About the Work We’re seeking a Full Stack Engineer for our Church Center/Publishing product team, with significant experience (4+ years) in Ruby on Rails and a solid understanding of React. Our team is responsible for Church Center (currently serving 7 million active users) and the Publishing admin application to support it. You’ll work on building out new features from start to finish, refining existing features, improving performance, and ensuring the security of our customer’s data. Responsibilities Translating the product manager’s feature pitches into technical specifications Implementing those technical specifications as a series of small, descriptive, and well-tested GitHub pull request Pairing with your designer and developer teammates Reviewing your teammates’ pull requests to increase the quality of what we build and learn from one another Deploying to production with one click Investigating customer-reported bugs that have been triaged and researched by our fantastic support team Diagnosing errors that come in through our error monitoring tools Improving performance guided by Datadog and AWS Performance Insights Participating in book and code clubs to learn with/from other developers Who We Look For The best fits for any role on the Planning Center team are people embodying our Core Values: Engage with Humility - We actively participate with openness and receptiveness. We are ready to listen, learn, and speak thoughtfully and kindly—regardless of skill level, expertise, or place on the org chart. Invest in our team - We give our time and energy to our team’s success—improving collaboration with effective communication, making space for diverse perspectives, sharing knowledge, and asking questions. Do Our Best Work - We aspire to do our best possible work—continually looking for ways to improve the quality of our individual output and contribute to our team's overall success and growth. Focus on Customer Impact - We advocate for our customer’s best interests in our decision-making—we can trace the goal of every project back to creating positive value for our customers. Think Holistically, Work Iteratively - We focus on taking practical steps towards our goals with an awareness of the broader context—thinking big, working small. We believe the strongest teams comprise people with diverse backgrounds and experiences, and we are committed to cultivating that diversity here at Planning Center. We're building an inclusive, supportive place for you to do your best work. The Hiring Process During the hiring process, you’ll have a chance to interact with several members of our team. We strongly encourage you to bring any questions to anybody you interact with. You’re interviewing us as much as we’re interviewing you. Below is an outline of the steps in our hiring process. Step One : Apply with a resume and cover letter. Your cover letter should speak directly to your interest in this position as well as to showcase your written communication. We want to know what got you into development, how your experience has set you up for success in this role, and why you want to join our team . Note: We read every cover letter—it’s your chance to show us why this role and Planning Center resonate with you. While we value AI tools and their role in modern work, we ask that your cover letter reflect your own voice and genuine interest. Applications without a cover letter will not be considered. Step Two : If selected to move forward, an invitation to an online coding assessment to get a rough understanding of your developer prowess Step Three : Initial phone screen with our Talent Acquisition Specialist to get to know one another and discuss work and culture Step Four : Technical Interview with a few developers. During this time, we'll discuss your work experience, methodologies, and you can ask any lingering questions you have for us. Step Five : Career Interview- We will thoroughly review your career history, exploring your past working experiences and leadership style. Step Six: Pending all goes well, we'll extend an offer Requirements Reside in the United States Eligible to work in the United States ( we are currently unable to offer employment to those with H-1B visas ) Be willing to travel four times each year to connect with the rest of the team 4+ years of professional experience in Ruby on Rails Professional experience in React. Note: If you've applied for this same role within the past 9 months, we kindly ask that you do not reapply at this time. We thoughtfully review each application, and while we may not move forward now, we encourage you to apply for future opportunities that align with your experience. Benefits We love our team. It’s one of the core pillars we work off of every day, which is why we take care of you as best we can. Here are a few highlights, but you can find all our benefits here . Get paid: We pay competitive rates no matter where you live, contribute to your 401k, provide a charitable giving match of up to $2,000 a year, have a generous allowance for continued education, and offer a co-working stipend. The annual salary range for this position is $146,600 - $175,000. Be healthy: Generous paid sick time and vacation time, $200 a month for physical fitness and mental health, 95% medical & 100% dental premium health coverage. Get out: Paid Fridays off in the summer, every other Friday off the rest of the year, a month-long sabbatical every five years, one week off between Christmas & New Year, one week off a year to serve with a globally-focused non-profit, and two weeks paid vacation a year increasing to three over time. The pay range for this role is: 146,600 - 175,000 USD per year (Remote)",https://www.weworkremotely.com/remote-jobs/planning-center-full-stack-engineer,2025-08-18 16:04:23 UTC,2025-09-17 16:04:23 UTC,Full-Stack Programming,100000,100000,USD,Planning Center,"Carlsbad, CA"
9,Sr. Software Developer Remote,"POSITION SUMMARY Design, build, and maintain software. Extensive interaction with product management, UI/UX designers, enterprise architects, and other software developers to design and develop innovative solutions to real market problems. LOCATION Remote - (US) FUNCTIONS OF THE JOB Essential Functions: which may be representative but not all inclusive of those commonly associated with this position. Provides technical leadership on all assigned projects to ensure delivery of valuable solutions in alignment with BMI's business needs, technological platform architecture, and overall SDLC. This includes understanding business requirements, adhering to technical architecture standards, recommending technical design, monitoring development and testing efforts, resolving technical issues, making technical decisions, and supporting deployment of the product. Participate in all phases of managing the Application Lifecycle Management: requirements analysis, development, testing, and implementation. Participate in technical logic and design discussions Identify the appropriate software architecture based on the requirements and on enterprise architecture guidelines Lead the review process for software architecture documents Contribute to the review and analysis of business requirements Integrate internal and external product design into a cohesive user experience Work with UX/UI to improve and refine product visual design and consistency Create, maintain, and present technical documentation to different audiences and levels Perform resource, technical and risk assessments Work with other development, architecture, and product development teams to ensure delivery of product Work with 3rd party vendor on technical design/specifications, development, testing and deployment to ensure the product meets the requirements Assist in the timely completion of assigned development projects Prepare required documentation, including project plans, software program, and user documentation Assist in the estimation of personnel requirements, cost, and time for development projects Other duties as assigned Regular attendance Supports our BMI Core Values and cultivates a culture of diversity and inclusion POSITION QUALIFICATION REQUIREMENTS Education: Bachelor's Degree or higher in Computer Science or Math or related industry experience Experience: Minimum of 8 years of hands-on experience in Object-Oriented programming using Java Proven expertise in building Java-based server-side applications and RESTful APIs using Spring Boot Strong proficiency in SQL, with a preference for experience using MySQL Demonstrated experience developing and deploying applications in Microsoft Azure cloud Familiarity with Agile development methodologies and practices Experience with Databricks is a big plus Working knowledge of XML and SOAP technologies is advantageous Exposure to infrastructure-as-code tools such as Terraform is a plus SKILLS AND ABILITIES This may be representative but not all inclusive of those commonly associated with this position. Must possess ability to work independently in a fast-paced, dynamic environment Must be a self-motivated team player who understands the importance of teamwork, collaboration, and open communication, including a willingness to occasionally work in a pair-programming environment Must possess the ability to create and maintain artifacts including use cases, data flow charts, process flow diagrams, software requirements document, functional specifications document, etc. Must possess strong analytica, problem solving and technical documentation skills Must possess ability to effectively present information and respond to questions Experience with distributed systems or a large enterprise background is preferred Must have an excellent understanding and hands-on experience with design and development best practices Detail orientation and strong attention to detail Must have progressive achievement in job history Must be willing to work overtime, including weekends, when required Understanding of SDLC automation concepts such as continuous integration Must possess ability to implement strong unit and service-level tests SALARY RANGE The specific base salary offered to a successful applicant will be based on individual qualifications, skills, experience, and education. The pay range is subject to change at any time based on various internal and external factors. The position may also be eligible for one or more performance-based bonuses. In addition to cash compensation, BMI offers a competitive portfolio of benefits to its employees, as described below. What We Give to You: Health, dental, and vision insurance 401K with employer match Flexible spending accounts Paid vacation and paid sick/personal time 12 paid calendar holidays Paid volunteer time off Summer hours that offer more time for fun in the sun Company paid life insurance Up to 12 weeks paid parental leave Tuition assistance for qualified team members Commuter benefits (New York) Amazing and engaging culture Employee Resource Groups BROADCAST MUSIC, INC. IS AN EQUAL OPPORTUNITY EMPLOYER: All applicants will receive equal opportunity for employment without regard of race, color, sex, religion, nationality, age, sexual orientation, gender identity and/or expression, veteran's or marital status, disability, or any other cultural factor.",https://www.weworkremotely.com/remote-jobs/broadcast-music-inc-sr-software-developer-remote-1,2025-09-13 00:36:53 UTC,2025-10-13 00:36:53 UTC,Full-Stack Programming,0,0,USD,"Broadcast Music, Inc.",Tennessee
